DOID,Gene
DOID:423,43
DOID:10283,43
DOID:684,43
DOID:769,43
DOID:8029,43
DOID:14443,43
DOID:3908,43
DOID:5520,43
DOID:11934,43
DOID:1749,43
DOID:3083,43
DOID:437,43
DOID:2377,43
DOID:302,43
DOID:1596,43
DOID:9408,43
DOID:3393,43
DOID:12140,43
DOID:0050156,43
DOID:3635,43
DOID:0080600,43
DOID:12336,43
DOID:9007,43
DOID:10534,43
DOID:1324,47
DOID:9352,47
DOID:3068,47
DOID:2394,47
DOID:162,47
DOID:9256,47
DOID:684,47
DOID:3908,47
DOID:1612,47
DOID:0080827,47
DOID:10534,47
DOID:8398,47
DOID:13241,47
DOID:9119,47
DOID:1909,47
DOID:0080208,47
DOID:2945,47
DOID:0080547,47
DOID:0060180,47
DOID:2352,48
DOID:13121,48
DOID:684,48
DOID:11263,48
DOID:1909,48
DOID:10871,48
DOID:1793,48
DOID:162,48
DOID:9256,50
DOID:5419,50
DOID:10286,50
DOID:10534,50
DOID:10652,50
DOID:0080832,50
DOID:1891,50
DOID:12858,50
DOID:10283,50
DOID:162,50
DOID:14330,50
DOID:0050797,51
DOID:0080208,51
DOID:2043,51
DOID:684,51
DOID:9452,51
DOID:1040,51
DOID:9351,52
DOID:399,52
DOID:9352,52
DOID:219,52
DOID:769,52
DOID:5810,52
DOID:162,52
DOID:289,52
DOID:3393,52
DOID:11714,52
DOID:13628,52
DOID:7148,52
DOID:9074,52
DOID:0050589,52
DOID:1612,52
DOID:9744,52
DOID:10283,52
DOID:1587,52
DOID:1909,52
DOID:8552,52
DOID:9256,52
DOID:9256,53
DOID:11782,53
DOID:225,53
DOID:7148,54
DOID:1612,54
DOID:9538,54
DOID:0080001,54
DOID:162,54
DOID:13068,54
DOID:13533,54
DOID:784,54
DOID:9970,54
DOID:3908,54
DOID:0060250,54
DOID:4305,54
DOID:2256,54
DOID:4450,54
DOID:8857,54
DOID:8398,54
DOID:1936,54
DOID:3393,54
DOID:225,54
DOID:8689,54
DOID:1324,54
DOID:0070527,54
DOID:5419,54
DOID:824,54
DOID:3770,54
DOID:11476,54
DOID:10283,55
DOID:14654,55
DOID:10350,55
DOID:1612,55
DOID:1240,55
DOID:934,55
DOID:0050639,55
DOID:4001,55
DOID:2394,55
DOID:423,58
DOID:3191,58
DOID:0080102,58
DOID:0081337,58
DOID:11722,58
DOID:557,58
DOID:3298,58
DOID:305,58
DOID:11263,58
DOID:0050557,58
DOID:0080744,58
DOID:633,58
DOID:0080307,58
DOID:417,58
DOID:10283,58
DOID:162,58
DOID:12930,58
DOID:5520,58
DOID:3347,58
DOID:5241,58
DOID:0050700,58
DOID:3347,59
DOID:1936,59
DOID:2513,59
DOID:0060224,59
DOID:7148,59
DOID:225,59
DOID:6713,59
DOID:13099,59
DOID:14004,59
DOID:3083,59
DOID:799,59
DOID:2001,59
DOID:9719,59
DOID:13129,59
DOID:3910,59
DOID:0080685,59
DOID:10534,59
DOID:14323,59
DOID:0050466,59
DOID:9261,59
DOID:0110791,59
DOID:1749,59
DOID:1793,59
DOID:13608,59
DOID:452,59
DOID:3113,59
DOID:11656,59
DOID:10283,59
DOID:0050639,59
DOID:1883,59
DOID:1682,59
DOID:178,59
DOID:65,59
DOID:0060903,59
DOID:1324,59
DOID:4905,59
DOID:1612,59
DOID:162,59
DOID:3908,59
DOID:520,59
DOID:0050866,59
DOID:5773,59
DOID:1909,59
DOID:0080896,60
DOID:234,60
DOID:543,60
DOID:934,60
DOID:1612,60
DOID:5419,60
DOID:5426,60
DOID:9970,60
DOID:0060229,60
DOID:3571,60
DOID:8622,60
DOID:1240,60
DOID:3247,60
DOID:9169,60
DOID:3068,60
DOID:225,60
DOID:1909,60
DOID:1059,60
DOID:6713,60
DOID:1115,60
DOID:684,60
DOID:0050745,60
DOID:9538,60
DOID:5844,60
DOID:162,60
DOID:1588,60
DOID:11984,60
DOID:11984,70
DOID:1882,70
DOID:0050700,70
DOID:3191,70
DOID:0060480,70
DOID:12930,70
DOID:11830,70
DOID:1682,70
DOID:3298,70
DOID:11829,70
DOID:9565,70
DOID:0080326,70
DOID:0050589,70
DOID:9256,70
DOID:1681,70
DOID:0050646,70
DOID:10003,71
DOID:9120,71
DOID:5419,71
DOID:0110550,71
DOID:0060229,71
DOID:8566,71
DOID:0112234,71
DOID:225,71
DOID:12270,71
DOID:4159,71
DOID:0050563,71
DOID:1909,71
DOID:0050745,71
DOID:9538,71
DOID:2394,71
DOID:8398,71
DOID:363,71
DOID:90,71
DOID:10283,71
DOID:3498,71
DOID:557,72
DOID:13580,72
DOID:10591,72
DOID:0060610,72
DOID:225,72
DOID:684,72
DOID:162,72
DOID:0080072,72
DOID:10487,72
DOID:0080685,72
DOID:11054,72
DOID:1312,81
DOID:557,81
DOID:9351,81
DOID:4001,81
DOID:576,81
DOID:3587,81
DOID:162,81
DOID:1184,81
DOID:1612,81
DOID:5426,81
DOID:305,81
DOID:1749,81
DOID:11054,81
DOID:2986,81
DOID:3910,81
DOID:0050904,81
DOID:8469,81
DOID:1781,81
DOID:2394,81
DOID:1909,81
DOID:1324,81
DOID:1793,81
DOID:4362,81
DOID:3908,81
DOID:3907,81
DOID:8649,81
DOID:3498,81
DOID:10591,81
DOID:3347,81
DOID:10283,81
DOID:3459,81
DOID:0050851,81
DOID:12930,81
DOID:684,81
DOID:3905,81
DOID:10763,81
DOID:11166,86
DOID:0070482,86
DOID:3247,86
DOID:684,86
DOID:5520,86
DOID:3347,86
DOID:1059,86
DOID:93,86
DOID:10283,86
DOID:219,86
DOID:0060318,86
DOID:2394,86
DOID:4362,86
DOID:2876,86
DOID:162,86
DOID:3908,86
DOID:1749,86
DOID:3068,86
DOID:9256,86
DOID:289,87
DOID:2871,87
DOID:162,87
DOID:299,87
DOID:2377,87
DOID:1588,87
DOID:0080162,87
DOID:0110858,87
DOID:305,87
DOID:1612,87
DOID:0050866,87
DOID:684,87
DOID:10534,87
DOID:0050820,88
DOID:12930,88
DOID:11720,88
DOID:684,88
DOID:0050700,88
DOID:423,88
DOID:2746,89
DOID:3083,89
DOID:225,89
DOID:0060250,89
DOID:11723,89
DOID:9970,89
DOID:1612,89
DOID:769,89
DOID:2846,89
DOID:162,89
DOID:9351,89
DOID:10763,89
DOID:13374,90
DOID:668,90
DOID:2841,90
DOID:11612,90
DOID:1682,90
DOID:10283,90
DOID:2394,90
DOID:14250,90
DOID:305,90
DOID:7474,90
DOID:0080684,90
DOID:684,90
DOID:2256,90
DOID:225,90
DOID:1612,90
DOID:1793,90
DOID:6652,90
DOID:13641,90
DOID:1067,90
DOID:1749,90
DOID:0080889,90
DOID:9538,90
DOID:707,90
DOID:418,91
DOID:10283,91
DOID:162,91
DOID:1793,91
DOID:0060224,91
DOID:10763,91
DOID:1682,91
DOID:9256,92
DOID:10283,92
DOID:219,92
DOID:10591,92
DOID:769,92
DOID:1612,92
DOID:3814,92
DOID:10534,92
DOID:225,93
DOID:5426,93
DOID:1612,93
DOID:2043,93
DOID:4467,93
DOID:9970,93
DOID:9352,93
DOID:2316,93
DOID:326,93
DOID:1272,94
DOID:1270,94
DOID:6432,94
DOID:14557,94
DOID:409,94
DOID:10763,94
DOID:10591,94
DOID:225,94
DOID:9201,94
DOID:934,94
DOID:11396,94
DOID:4450,94
DOID:4297,94
DOID:9256,94
DOID:162,94
DOID:1240,94
