X,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
55869,0.190618941380669,5.73168155962004,2.11091086933639,0.0396254968970104,0.0744394539813571,-4.42271338093238,NOT
5587,0.00413248545670353,6.4752414543479,0.0186975456363568,0.985154218760315,0.989191930732668,-6.55620235102919,NOT
55870,0.203328193030622,9.74341274992139,1.58430123713247,0.119211801985022,0.184528845947826,-5.33247617126314,NOT
55872,1.72879129229796,4.69566117059721,5.16165081516109,3.9341726362298e-06,9.292525854691e-05,4.13171294848295,Up
55876,1.77948208636048,7.07689782283352,5.84146093041559,3.4625775539866e-07,1.60948024518342e-05,6.4616711646902,Up
55879,-0.17330544450303,2.91380090871158,-3.40615239895814,0.00128070687883973,0.00503957672807228,-1.33760242360746,NOT
5588,-0.49551236526592,5.00815348265598,-2.2978959918442,0.0256375898757754,0.0521831561165584,-4.04695080799934,NOT
55884,0.0688955071274417,9.77966672392425,0.685790630625691,0.495903058732272,0.584319883157406,-6.32250806921054,NOT
55885,-2.45291076718123,5.91033820374036,-6.39280432985885,4.65963584634073e-08,3.92843145199188e-06,8.38980158563501,Down
55888,-0.230628639658798,4.65498013722852,-1.54835075900336,0.127626164727716,0.195202883164888,-5.38614270681155,NOT
5589,-0.0551823776726401,8.47193416325493,-0.411788059278876,0.682193741646001,0.74926173396816,-6.47180705390882,NOT
55890,-0.147282907955715,7.01340295192517,-0.525755449404691,0.601301696689207,0.679851587135196,-6.418662089263,NOT
55891,-0.00701478074824902,2.77435627517224,-0.155324978756334,0.877168794109324,0.908447951884049,-6.54432741671121,NOT
55892,0.19873538315386,6.56476055713099,1.80674694270104,0.0766115692557585,0.12788451448352,-4.97592345266835,NOT
55893,-0.455330938952241,7.70188738803361,-2.465866550043,0.0170171822100448,0.0373213061971536,-3.68748900965775,NOT
55897,-0.450944570803311,4.25308548798442,-3.28995888546794,0.00180648203411816,0.00645251833250025,-1.65576521734193,NOT
55898,0.413261049740783,5.56854945314579,3.70210560215263,0.000519218257215296,0.00266048252663665,-0.496965807066221,NOT
5590,0.16732271688656,6.50305701850064,1.08799132985179,0.281635171667241,0.37257930339868,-5.97181568779576,NOT
55900,-0.702794824605942,7.91967105306537,-4.13003195379566,0.000132465442136708,0.00104724536987573,0.786764566161524,NOT
55902,0.281414867058206,6.87623691229053,1.44379972720565,0.154816313537902,0.228628814489276,-5.53581485007093,NOT
55904,0.372298519956008,9.45101801969505,2.71625939193086,0.00895274673062565,0.0222921909586658,-3.11524182613731,NOT
55905,0.190282488050816,9.49728943036714,1.89680501184997,0.0634356738937913,0.109716318369129,-4.81985579514649,NOT
